"Database","Connectivity From","Connectivity To","Projection Strength","Organism","Notes","Reference","e_uid","database","con_from","con_to","projection_strength","species","notes","reference","link","con_from_abb","con_to_abb","nifid","ref_link"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=116&aff=425"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis anterior division magnocellular nucleus","Superior colliculus intermediate deep gray layer","fibers of passage","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=16304681"" class=""external"" target=""_blank"">Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, magnocellular nucleus: implications for cerebral hemisphere regulation of micturition, defecation, and penile erection. In J Comp Neurol</a>","116425fibers of passageDong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, magnocellular nucleus: implications for cerebral hemisphere regulation of micturition, defecation, and penile erection. In J Comp NeurolPHALSuperior colliculus intermediate deep gray layer","BAMS","Bed nuclei of the stria terminalis anterior division magnocellular nucleus","Superior colliculus intermediate deep gray layer","fibers of passage","Rat","Technique: PHAL","Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, magnocellular nucleus: implications for cerebral hemisphere regulation of micturition, defecation, and penile erection. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=116&aff=425","BSTmg","SCdg","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=16304681"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=119&aff=267"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis posterior division interfascicular nucleus","Medial nucleus of the amygdala posteroventral part","fibers of passage","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"" class=""external"" target=""_blank"">Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol</a>","119267fibers of passageDong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp NeurolPHALMedial nucleus of the amygdala posteroventral part","BAMS","Bed nuclei of the stria terminalis posterior division interfascicular nucleus","Medial nucleus of the amygdala posteroventral part","fibers of passage","Rat","Technique: PHAL","Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=119&aff=267","BSTif","MEApv","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=434&aff=540"" class=""external"" target=""_blank"">BAMS</a>","Medial pretectal area","Precommissural nucleus","not detected","Rat","Technique: CTB","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=10331578"" class=""external"" target=""_blank"">Canteras N.S & Goto M.: Connections of the precommissural nucleus. In J Comp Neurol</a>","434540not presentCanteras N.S & Goto M.: Connections of the precommissural nucleus. In J Comp NeurolCTBPrecommissural nucleus","BAMS","Medial pretectal area","Precommissural nucleus","not detected","Rat","Technique: CTB","Canteras N.S & Goto M.: Connections of the precommissural nucleus. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=434&aff=540","MPT","PRC","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=10331578"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=853&aff=428"" class=""external"" target=""_blank"">BAMS</a>","Inferior olivary complex","Pretectal region","weak","Rat","Technique: HRP","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=6846209"" class=""external"" target=""_blank"">Swenson RS, Castro AJ.: The afferent connections of the inferior olivary complex in rats: a study using the retrograde transport of horseradish peroxidase.. In Am J Anat</a>","853428lightSwenson RS, Castro AJ.: The afferent connections of the inferior olivary complex in rats: a study using the retrograde transport of horseradish peroxidase.. In Am J AnatHRPPretectal region","BAMS","Inferior olivary complex","Pretectal region","weak","Rat","Technique: HRP","Swenson RS, Castro AJ.: The afferent connections of the inferior olivary complex in rats: a study using the retrograde transport of horseradish peroxidase.. In Am J Anat","http://brancusi.usc.edu/connections/conef-det.php?eff=853&aff=428","IO","PRT","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=6846209"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=305&aff=668"" class=""external"" target=""_blank"">BAMS</a>","Ventromedial nucleus of the hypothalamus ventrolateral part","Piriform area pyramidal layer","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=7814684"" class=""external"" target=""_blank"">Canteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol</a>","305668not presentCanteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp NeurolPHALPiriform area pyramidal layer","BAMS","Ventromedial nucleus of the hypothalamus ventrolateral part","Piriform area pyramidal layer","not detected","Rat","Technique: PHAL","Canteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=305&aff=668","VMHvl","PIR2","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=7814684"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=118&aff=233"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis posterior division principal nucleus","Supraoptic nucleus","fibers of passage","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"" class=""external"" target=""_blank"">Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol</a>","118233fibers of passageDong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp NeurolPHALSupraoptic nucleus","BAMS","Bed nuclei of the stria terminalis posterior division principal nucleus","Supraoptic nucleus","fibers of passage","Rat","Technique: PHAL","Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=118&aff=233","BSTpr","SO","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=285&aff=321"" class=""external"" target=""_blank"">BAMS</a>","Anterodorsal preoptic nucleus","Lateral hypothalamic area","exists","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=N/A"" class=""external"" target=""_blank"">Thompson R.H., Swanson L.W.: Structural characterization of a hypothalamic visceromotor pattern generator network. In Brain Res Brain Res Rev</a>","285321existsThompson R.H., Swanson L.W.: Structural characterization of a hypothalamic visceromotor pattern generator network. In Brain Res Brain Res RevPHALLateral hypothalamic area","BAMS","Anterodorsal preoptic nucleus","Lateral hypothalamic area","exists","Rat","Technique: PHAL","Thompson R.H., Swanson L.W.: Structural characterization of a hypothalamic visceromotor pattern generator network. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=285&aff=321","ADP","LHA","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=N/A"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=1694&aff=6976"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis, anterior division, subcommisural zone","Infundibulum external lamina","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=12836178"" class=""external"" target=""_blank"">Dong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp Neurol</a>","16946976not presentDong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp NeurolPHALInfundibulum external lamina","BAMS","Bed nuclei of the stria terminalis, anterior division, subcommisural zone","Infundibulum external lamina","not detected","Rat","Technique: PHAL","Dong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=1694&aff=6976","BSTsc","INFex","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=12836178"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=399&aff=665"" class=""external"" target=""_blank"">BAMS</a>","Lateral septal nucleus ventral part","Taenia tecta ventral part layer3","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"" class=""external"" target=""_blank"">Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev</a>","399665not presentRisold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res RevPHALTaenia tecta ventral part layer3","BAMS","Lateral septal nucleus ventral part","Taenia tecta ventral part layer3","not detected","Rat","Technique: PHAL","Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=399&aff=665","LSv","TTv3","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=114&aff=426"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis anterior division fusiform nucleus","Superior colliculus intermediate deep white layer","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=11447588"" class=""external"" target=""_blank"">Dong HW, Petrovich GD, Watts AG, Swanson LW: Basic organization of projections from the oval and fusiform nuclei of the bed nuclei of the stria terminalis in adult rat brain. In J Comp Neurol</a>","114426not presentDong HW, Petrovich GD, Watts AG, Swanson LW: Basic organization of projections from the oval and fusiform nuclei of the bed nuclei of the stria terminalis in adult rat brain. In J Comp NeurolPHALSuperior colliculus intermediate deep white layer","BAMS","Bed nuclei of the stria terminalis anterior division fusiform nucleus","Superior colliculus intermediate deep white layer","not detected","Rat","Technique: PHAL","Dong HW, Petrovich GD, Watts AG, Swanson LW: Basic organization of projections from the oval and fusiform nuclei of the bed nuclei of the stria terminalis in adult rat brain. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=114&aff=426","BSTfu","SCdw","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=11447588"
