"Database","Connectivity From","Connectivity To","Projection Strength","Organism","Notes","Reference","e_uid","database","con_from","con_to","projection_strength","species","notes","reference","link","con_from_abb","con_to_abb","nifid","ref_link"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=767&aff=777"" class=""external"" target=""_blank"">BAMS</a>","Prelimbic area","Claustrum","moderate","Rat","Technique: autoradiography","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=762282"" class=""external"" target=""_blank"">Beckstead RM.: An autoradiographic examination of corticocortical and subcortical projections of the mediodorsal-projection (prefrontal) cortex in the rat.. In J Comp Neurol</a>","767777moderateBeckstead RM.: An autoradiographic examination of corticocortical and subcortical projections of the mediodorsal-projection (prefrontal) cortex in the rat.. In J Comp NeurolautoradiographyClaustrum","BAMS","Prelimbic area","Claustrum","moderate","Rat","Technique: autoradiography","Beckstead RM.: An autoradiographic examination of corticocortical and subcortical projections of the mediodorsal-projection (prefrontal) cortex in the rat.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=767&aff=777","PL","CLA","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=762282"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=298&aff=540"" class=""external"" target=""_blank"">BAMS</a>","Subparaventricular zone","Precommissural nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=20863850"" class=""external"" target=""_blank"">Canteras N.S., Ribeiro-Barbosa E.R., Goto M., Cipolla-Neto J. & Swanson L.W.: The retinohypothalamic tract: comparison of axonal projection patterns from four major targets. In Brain Res Rev</a>","298540not presentCanteras N.S., Ribeiro-Barbosa E.R., Goto M., Cipolla-Neto J. & Swanson L.W.: The retinohypothalamic tract: comparison of axonal projection patterns from four major targets. In Brain Res RevPHALPrecommissural nucleus","BAMS","Subparaventricular zone","Precommissural nucleus","not detected","Rat","Technique: PHAL","Canteras N.S., Ribeiro-Barbosa E.R., Goto M., Cipolla-Neto J. & Swanson L.W.: The retinohypothalamic tract: comparison of axonal projection patterns from four major targets. In Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=298&aff=540","SBPV","PRC","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=20863850"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=112&aff=592"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis anterior division dorsomedial nucleus","Cuneiform nucleus","weak","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=16304682"" class=""external"" target=""_blank"">Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, dorsomedial nucleus: implications for cerebral hemipshere integration for neuroendocrine, autonomic and drinking responses. In J Comp Neurol</a>","112592very lightDong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, dorsomedial nucleus: implications for cerebral hemipshere integration for neuroendocrine, autonomic and drinking responses. In J Comp NeurolPHALCuneiform nucleus","BAMS","Bed nuclei of the stria terminalis anterior division dorsomedial nucleus","Cuneiform nucleus","weak","Rat","Technique: PHAL","Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, dorsomedial nucleus: implications for cerebral hemipshere integration for neuroendocrine, autonomic and drinking responses. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=112&aff=592","BSTdm","CUN","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=16304682"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=107&aff=109"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis anterolateral area","Bed nuclei of the stria terminalis oval nucleus","moderate","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=12836178"" class=""external"" target=""_blank"">Dong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp Neurol</a>","107109light/moderateDong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp NeurolPHALBed nuclei of the stria terminalis oval nucleus","BAMS","Bed nuclei of the stria terminalis anterolateral area","Bed nuclei of the stria terminalis oval nucleus","moderate","Rat","Technique: PHAL","Dong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=107&aff=109","BSTal","BSTov","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=12836178"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=767&aff=399"" class=""external"" target=""_blank"">BAMS</a>","Prelimbic area","Lateral septal nucleus ventral part","not detected","Rat","Technique: Fluorogold","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"" class=""external"" target=""_blank"">Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev</a>","767399not presentRisold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res RevFluorogoldLateral septal nucleus ventral part","BAMS","Prelimbic area","Lateral septal nucleus ventral part","not detected","Rat","Technique: Fluorogold","Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=767&aff=399","PL","LSv","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=680&aff=59"" class=""external"" target=""_blank"">BAMS</a>","Cortical nucleus of the amygdala posterior part medial zone","Anteromedial nucleus of thalamus ventral part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"" class=""external"" target=""_blank"">Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol</a>","68059not presentCanteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp NeurolPHALAnteromedial nucleus of thalamus ventral part","BAMS","Cortical nucleus of the amygdala posterior part medial zone","Anteromedial nucleus of thalamus ventral part","not detected","Rat","Technique: PHAL","Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=680&aff=59","COApm","AMv","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=384&aff=35"" class=""external"" target=""_blank"">BAMS</a>","Lateral septal nucleus rostral (rostroventral) part medial zone ventral region","Main olfactory bulb, inner plexiform layer","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"" class=""external"" target=""_blank"">Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev</a>","38435not presentRisold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res RevPHALMain olfactory bulb, inner plexiform layer","BAMS","Lateral septal nucleus rostral (rostroventral) part medial zone ventral region","Main olfactory bulb, inner plexiform layer","not detected","Rat","Technique: PHAL","Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=384&aff=35","LSr.m.v","MOBipl","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=632&aff=534"" class=""external"" target=""_blank"">BAMS</a>","Primary motor area","Substantia nigra reticular part","weak","Rat","Technique: autoradiography","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=2822206"" class=""external"" target=""_blank"">Reep RL, Corwin JV, Hashimoto A, Watson RT.: Efferent connections of the rostral portion of medial agranular cortex in rats.. In Brain Res Bull</a>","632534lightReep RL, Corwin JV, Hashimoto A, Watson RT.: Efferent connections of the rostral portion of medial agranular cortex in rats.. In Brain Res BullautoradiographySubstantia nigra reticular part","BAMS","Primary motor area","Substantia nigra reticular part","weak","Rat","Technique: autoradiography","Reep RL, Corwin JV, Hashimoto A, Watson RT.: Efferent connections of the rostral portion of medial agranular cortex in rats.. In Brain Res Bull","http://brancusi.usc.edu/connections/conef-det.php?eff=632&aff=534","MOp","SNr","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=2822206"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=572&aff=373"" class=""external"" target=""_blank"">BAMS</a>","Nucleus incertus diffuse part","Lateral septal nucleus caudal (caudodorsal) part ventral zone","moderate","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=11503154"" class=""external"" target=""_blank"">Goto M., Swanson L.W., Canteras N.S.: Connections of the nucleus incertus. In J Comp Neurol</a>","572373moderateGoto M., Swanson L.W., Canteras N.S.: Connections of the nucleus incertus. In J Comp NeurolPHALLateral septal nucleus caudal (caudodorsal) part ventral zone","BAMS","Nucleus incertus diffuse part","Lateral septal nucleus caudal (caudodorsal) part ventral zone","moderate","Rat","Technique: PHAL","Goto M., Swanson L.W., Canteras N.S.: Connections of the nucleus incertus. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=572&aff=373","NId","LSc.v","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=11503154"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=118&aff=427"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis posterior division principal nucleus","Parageminal nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"" class=""external"" target=""_blank"">Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol</a>","118427not presentDong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp NeurolPHALParageminal nucleus","BAMS","Bed nuclei of the stria terminalis posterior division principal nucleus","Parageminal nucleus","not detected","Rat","Technique: PHAL","Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=118&aff=427","BSTpr","PBG","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=231&aff=305"" class=""external"" target=""_blank"">BAMS</a>","Anteroventral periventricular nucleus","Ventromedial nucleus of the hypothalamus ventrolateral part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=3259955"" class=""external"" target=""_blank"">Simerly RB, Swanson LW.: Projections of the medial preoptic nucleus: a Phaseolus vulgaris leucoagglutinin anterograde tract-tracing study in the rat.. In J Comp Neurol</a>","231305not presentSimerly RB, Swanson LW.: Projections of the medial preoptic nucleus: a Phaseolus vulgaris leucoagglutinin anterograde tract-tracing study in the rat.. In J Comp NeurolPHALVentromedial nucleus of the hypothalamus ventrolateral part","BAMS","Anteroventral periventricular nucleus","Ventromedial nucleus of the hypothalamus ventrolateral part","not detected","Rat","Technique: PHAL","Simerly RB, Swanson LW.: Projections of the medial preoptic nucleus: a Phaseolus vulgaris leucoagglutinin anterograde tract-tracing study in the rat.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=231&aff=305","AVPV","VMHvl","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=3259955"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=820&aff=540"" class=""external"" target=""_blank"">BAMS</a>","Simple lobule sublobule b","Precommissural nucleus","not detected","Rat","Technique: CTB","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=10331578"" class=""external"" target=""_blank"">Canteras N.S & Goto M.: Connections of the precommissural nucleus. In J Comp Neurol</a>","820540not presentCanteras N.S & Goto M.: Connections of the precommissural nucleus. In J Comp NeurolCTBPrecommissural nucleus","BAMS","Simple lobule sublobule b","Precommissural nucleus","not detected","Rat","Technique: CTB","Canteras N.S & Goto M.: Connections of the precommissural nucleus. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=820&aff=540","SIMb","PRC","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=10331578"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=118&aff=534"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis posterior division principal nucleus","Substantia nigra reticular part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"" class=""external"" target=""_blank"">Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol</a>","118534not presentDong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp NeurolPHALSubstantia nigra reticular part","BAMS","Bed nuclei of the stria terminalis posterior division principal nucleus","Substantia nigra reticular part","not detected","Rat","Technique: PHAL","Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=118&aff=534","BSTpr","SNr","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=506&aff=275"" class=""external"" target=""_blank"">BAMS</a>","Parabrachial nucleus lateral division central lateral part","Dorsomedial nucleus of the hypothalamus ventral part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=9622601"" class=""external"" target=""_blank"">Thompson R.H., Swanson L.W.: Organization of inputs to the dorsomedial nucleus of the hypothalamus: a reexamination with Fluorogold and PHAL in the rat. In Brain Res Brain Res Rev</a>","506275not presentThompson R.H., Swanson L.W.: Organization of inputs to the dorsomedial nucleus of the hypothalamus: a reexamination with Fluorogold and PHAL in the rat. In Brain Res Brain Res RevPHALDorsomedial nucleus of the hypothalamus ventral part","BAMS","Parabrachial nucleus lateral division central lateral part","Dorsomedial nucleus of the hypothalamus ventral part","not detected","Rat","Technique: PHAL","Thompson R.H., Swanson L.W.: Organization of inputs to the dorsomedial nucleus of the hypothalamus: a reexamination with Fluorogold and PHAL in the rat. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=506&aff=275","PBlc","DMHv","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=9622601"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=116&aff=303"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis anterior division magnocellular nucleus","Ventromedial nucleus of the hypothalamus dorsomedial part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=16304681"" class=""external"" target=""_blank"">Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, magnocellular nucleus: implications for cerebral hemisphere regulation of micturition, defecation, and penile erection. In J Comp Neurol</a>","116303not presentDong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, magnocellular nucleus: implications for cerebral hemisphere regulation of micturition, defecation, and penile erection. In J Comp NeurolPHALVentromedial nucleus of the hypothalamus dorsomedial part","BAMS","Bed nuclei of the stria terminalis anterior division magnocellular nucleus","Ventromedial nucleus of the hypothalamus dorsomedial part","not detected","Rat","Technique: PHAL","Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, magnocellular nucleus: implications for cerebral hemisphere regulation of micturition, defecation, and penile erection. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=116&aff=303","BSTmg","VMHdm","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=16304681"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=795&aff=318"" class=""external"" target=""_blank"">BAMS</a>","Central lobule, lobule II sublobule b","Posterior hypothalamic nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=11166682"" class=""external"" target=""_blank"">Abrahamson E.E. & Moore R.Y.: The posterior hypothalamic area: chemoarchitecture and afferent connections. In Brain Res</a>","795318not presentAbrahamson E.E. & Moore R.Y.: The posterior hypothalamic area: chemoarchitecture and afferent connections. In Brain ResPHALPosterior hypothalamic nucleus","BAMS","Central lobule, lobule II sublobule b","Posterior hypothalamic nucleus","not detected","Rat","Technique: PHAL","Abrahamson E.E. & Moore R.Y.: The posterior hypothalamic area: chemoarchitecture and afferent connections. In Brain Res","http://brancusi.usc.edu/connections/conef-det.php?eff=795&aff=318","CENT2b","PH","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=11166682"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=759&aff=858"" class=""external"" target=""_blank"">BAMS</a>","Infralimbic area","Lateral reticular nucleus magnocellular part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=10720617"" class=""external"" target=""_blank"">Fisk G.A. & Wyss J.M.: Descending projections of infralimbic cortex that mediate stimulation-evoked changes in arterial pressure. In Brain Res</a>","759858not presentFisk G.A. & Wyss J.M.: Descending projections of infralimbic cortex that mediate stimulation-evoked changes in arterial pressure. In Brain ResPHALLateral reticular nucleus magnocellular part","BAMS","Infralimbic area","Lateral reticular nucleus magnocellular part","not detected","Rat","Technique: PHAL","Fisk G.A. & Wyss J.M.: Descending projections of infralimbic cortex that mediate stimulation-evoked changes in arterial pressure. In Brain Res","http://brancusi.usc.edu/connections/conef-det.php?eff=759&aff=858","ILA","LRNm","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=10720617"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=303&aff=832"" class=""external"" target=""_blank"">BAMS</a>","Ventromedial nucleus of the hypothalamus dorsomedial part","Copula pyramidis sublobule a","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=7814684"" class=""external"" target=""_blank"">Canteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol</a>","303832not presentCanteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp NeurolPHALCopula pyramidis sublobule a","BAMS","Ventromedial nucleus of the hypothalamus dorsomedial part","Copula pyramidis sublobule a","not detected","Rat","Technique: PHAL","Canteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=303&aff=832","VMHdm","COPYa","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=7814684"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=122&aff=350"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis dorsal nucleus","Zona incerta","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=16304685"" class=""external"" target=""_blank"">Dong H.-W. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, anteromedial area: cerebral hemisphere integration of neuroendocrine, autonomic, and behavioral aspects of energy balance. In J Comp Neurol</a>","122350not presentDong H.-W. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, anteromedial area: cerebral hemisphere integration of neuroendocrine, autonomic, and behavioral aspects of energy balance. In J Comp NeurolPHALZona incerta","BAMS","Bed nuclei of the stria terminalis dorsal nucleus","Zona incerta","not detected","Rat","Technique: PHAL","Dong H.-W. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, anteromedial area: cerebral hemisphere integration of neuroendocrine, autonomic, and behavioral aspects of energy balance. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=122&aff=350","BSTd","ZI","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=16304685"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=788&aff=472"" class=""external"" target=""_blank"">BAMS</a>","Posterior nucleus of the amygdala","Superior olivary complex periolivary region","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"" class=""external"" target=""_blank"">Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol</a>","788472not presentCanteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp NeurolPHALSuperior olivary complex periolivary region","BAMS","Posterior nucleus of the amygdala","Superior olivary complex periolivary region","not detected","Rat","Technique: PHAL","Canteras N.S., Simerly R.B., Swanson L.W.: Connections of the posterior nucleus of the amygdala. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=788&aff=472","PA","POR","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=1430327"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=120&aff=419"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis posterior division transverse nucleus","Superior colliculus optic layer","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"" class=""external"" target=""_blank"">Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol</a>","120419not presentDong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp NeurolPHALSuperior colliculus optic layer","BAMS","Bed nuclei of the stria terminalis posterior division transverse nucleus","Superior colliculus optic layer","not detected","Rat","Technique: PHAL","Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=120&aff=419","BSTtr","SCop","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=120&aff=425"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis posterior division transverse nucleus","Superior colliculus intermediate deep gray layer","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"" class=""external"" target=""_blank"">Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol</a>","120425not presentDong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp NeurolPHALSuperior colliculus intermediate deep gray layer","BAMS","Bed nuclei of the stria terminalis posterior division transverse nucleus","Superior colliculus intermediate deep gray layer","not detected","Rat","Technique: PHAL","Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=120&aff=425","BSTtr","SCdg","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=284&aff=110"" class=""external"" target=""_blank"">BAMS</a>","Medial preoptic nucleus central part","Bed nuclei of the stria terminalis juxtacapsular nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=3259955"" class=""external"" target=""_blank"">Simerly RB, Swanson LW.: Projections of the medial preoptic nucleus: a Phaseolus vulgaris leucoagglutinin anterograde tract-tracing study in the rat.. In J Comp Neurol</a>","284110not presentSimerly RB, Swanson LW.: Projections of the medial preoptic nucleus: a Phaseolus vulgaris leucoagglutinin anterograde tract-tracing study in the rat.. In J Comp NeurolPHALBed nuclei of the stria terminalis juxtacapsular nucleus","BAMS","Medial preoptic nucleus central part","Bed nuclei of the stria terminalis juxtacapsular nucleus","not detected","Rat","Technique: PHAL","Simerly RB, Swanson LW.: Projections of the medial preoptic nucleus: a Phaseolus vulgaris leucoagglutinin anterograde tract-tracing study in the rat.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=284&aff=110","MPNc","BSTju","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=3259955"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=387&aff=607"" class=""external"" target=""_blank"">BAMS</a>","Lateral septal nucleus rostral (rostroventral) part ventrolateral zone","Medullary reticular nucleus ventral part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"" class=""external"" target=""_blank"">Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev</a>","387607not presentRisold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res RevPHALMedullary reticular nucleus ventral part","BAMS","Lateral septal nucleus rostral (rostroventral) part ventrolateral zone","Medullary reticular nucleus ventral part","not detected","Rat","Technique: PHAL","Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=387&aff=607","LSr.vl","MDRNv","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=119&aff=407"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis posterior division interfascicular nucleus","Substantia innominata","moderate","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"" class=""external"" target=""_blank"">Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol</a>","119407moderateDong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp NeurolPHALSubstantia innominata","BAMS","Bed nuclei of the stria terminalis posterior division interfascicular nucleus","Substantia innominata","moderate","Rat","Technique: PHAL","Dong H.W., Swanson L.W.: Projections from bed nuclei of the stria terminalis, posterior division: implications for cerebral hemisphere regulation of defensive and reproductive behaviors.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=119&aff=407","BSTif","SI","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=15022261"
